epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.5489,0.68708,1.46815,1.22357,0.67739,0.67885,0.70501,0.61522,0.48908,1.02383,1.06765,0.00331995,0.00331995,0.00331995
2,153.823,0.72507,0.91953,1.21578,0.6604,0.7504,0.74598,0.61505,0.64595,1.25492,1.13984,0.00665165,0.00665165,0.00665165
3,227.975,0.82433,1.05745,1.28565,0.41258,0.3938,0.34886,0.2369,1.1802,2.36784,1.70721,0.00997686,0.00997686,0.00997686
4,301.814,0.89272,1.20847,1.34724,0.54681,0.45162,0.47117,0.34325,0.89828,2.81768,1.52323,0.00997803,0.00997803,0.00997803
5,375.556,0.86063,1.08251,1.31905,0.61744,0.64069,0.6607,0.51753,0.69467,1.26566,1.23326,0.00996097,0.00996097,0.00996097
6,449.431,0.82712,1.02366,1.2883,0.70353,0.68154,0.72794,0.57909,0.68661,1.19707,1.20543,0.00993906,0.00993906,0.00993906
7,522.85,0.79248,0.93208,1.26637,0.72448,0.73523,0.76517,0.63339,0.64175,0.91746,1.16905,0.00991232,0.00991232,0.00991232
8,596.88,0.77029,0.87375,1.25135,0.8128,0.75281,0.83322,0.69855,0.60623,0.80487,1.11446,0.00988079,0.00988079,0.00988079
9,670.853,0.75139,0.84776,1.23672,0.79879,0.77826,0.84084,0.6915,0.63281,0.77004,1.15077,0.00984449,0.00984449,0.00984449
10,744.593,0.73766,0.80621,1.22319,0.80527,0.78445,0.85436,0.72681,0.58559,0.71432,1.10801,0.00980345,0.00980345,0.00980345
11,818.329,0.7243,0.77235,1.21359,0.78328,0.80901,0.84919,0.72251,0.576,0.72609,1.1169,0.00975773,0.00975773,0.00975773
12,892.12,0.70386,0.75568,1.20446,0.82841,0.82427,0.87672,0.76512,0.52155,0.61174,1.05617,0.00970736,0.00970736,0.00970736
13,966.021,0.68455,0.725,1.18878,0.79025,0.80371,0.85021,0.73537,0.52581,0.68711,1.05982,0.00965239,0.00965239,0.00965239
14,1039.86,0.66887,0.68793,1.18461,0.81571,0.8269,0.87118,0.75334,0.55854,0.67494,1.0788,0.00959289,0.00959289,0.00959289
15,1113.64,0.65382,0.66595,1.16787,0.83137,0.80448,0.86984,0.76679,0.49619,0.63751,1.03901,0.00952889,0.00952889,0.00952889
16,1187.38,0.65294,0.65648,1.16883,0.81387,0.78074,0.86762,0.76421,0.51073,0.7293,1.04756,0.00946048,0.00946048,0.00946048
17,1261.17,0.64681,0.64845,1.15992,0.81085,0.77624,0.85433,0.7537,0.48236,0.72286,1.03885,0.00938772,0.00938772,0.00938772
18,1334.94,0.64325,0.63672,1.16493,0.83031,0.82579,0.89382,0.79257,0.47619,0.56094,1.009,0.00931067,0.00931067,0.00931067
19,1408.61,0.62407,0.61206,1.14412,0.83634,0.83329,0.8881,0.78309,0.49739,0.58334,1.04171,0.00922942,0.00922942,0.00922942
20,1482.29,0.62229,0.59613,1.14575,0.86676,0.81348,0.88293,0.78955,0.47776,0.56645,1.01283,0.00914405,0.00914405,0.00914405
21,1556.02,0.62375,0.58487,1.147,0.83802,0.83412,0.89439,0.80096,0.45625,0.55216,1.00428,0.00905463,0.00905463,0.00905463
22,1629.92,0.60778,0.5739,1.13707,0.85612,0.83572,0.90059,0.80872,0.45593,0.55414,1.01256,0.00896127,0.00896127,0.00896127
23,1703.92,0.60541,0.56237,1.13459,0.8713,0.80846,0.89715,0.79141,0.47625,0.53697,1.02984,0.00886404,0.00886404,0.00886404
24,1777.55,0.59872,0.55903,1.12876,0.85334,0.84383,0.90603,0.81543,0.42575,0.49678,0.99047,0.00876305,0.00876305,0.00876305
25,1851.47,0.59603,0.54413,1.12624,0.87584,0.82181,0.89632,0.80168,0.44542,0.51765,1.00047,0.00865839,0.00865839,0.00865839
26,1925.3,0.58592,0.53385,1.12136,0.87395,0.83321,0.91035,0.82961,0.42439,0.48943,0.99171,0.00855018,0.00855018,0.00855018
27,1998.93,0.58667,0.52786,1.11718,0.85593,0.84949,0.9115,0.82091,0.45186,0.52057,1.01116,0.00843851,0.00843851,0.00843851
28,2072.58,0.58161,0.51392,1.11273,0.87942,0.84737,0.91371,0.82664,0.4425,0.48991,0.99227,0.00832349,0.00832349,0.00832349
29,2146.21,0.56661,0.51147,1.10918,0.84246,0.86375,0.91307,0.83049,0.4297,0.49622,0.98405,0.00820525,0.00820525,0.00820525
30,2220.01,0.57355,0.50644,1.11105,0.87149,0.84531,0.90402,0.81542,0.43746,0.50956,1.01096,0.00808389,0.00808389,0.00808389
31,2293.43,0.55885,0.48649,1.10461,0.86893,0.83845,0.90919,0.82773,0.41589,0.49517,0.98361,0.00795954,0.00795954,0.00795954
32,2366.89,0.56016,0.48923,1.10093,0.88573,0.84465,0.92269,0.84315,0.41647,0.47809,0.97648,0.00783231,0.00783231,0.00783231
33,2440.75,0.55525,0.48128,1.09654,0.86468,0.88071,0.92442,0.8406,0.40658,0.4621,0.9775,0.00770234,0.00770234,0.00770234
34,2514.44,0.54334,0.46501,1.09267,0.86045,0.86308,0.91873,0.83984,0.39875,0.45097,0.98098,0.00756976,0.00756976,0.00756976
35,2588.17,0.54776,0.47094,1.09914,0.86626,0.8617,0.92081,0.84116,0.40221,0.47442,0.98739,0.00743468,0.00743468,0.00743468
36,2661.53,0.54458,0.45799,1.09029,0.85516,0.88347,0.92484,0.83975,0.41545,0.44466,0.97498,0.00729725,0.00729725,0.00729725
37,2735.02,0.53559,0.4454,1.08651,0.86112,0.86961,0.91526,0.83772,0.39877,0.46986,0.9791,0.00715761,0.00715761,0.00715761
38,2808.67,0.53102,0.44449,1.08744,0.87791,0.86742,0.91928,0.84654,0.37805,0.46422,0.96963,0.00701588,0.00701588,0.00701588
39,2882.64,0.52879,0.43991,1.09153,0.88365,0.87938,0.92604,0.85282,0.38972,0.44825,0.97781,0.00687222,0.00687222,0.00687222
